word_id,utterance_id,location,surface,auto,fix,eng,com,speaker,langid,filename,clause,clauseno
6072,856,2,she,she.PRON.SUB.F.3S,,,,LAU,eng,herring1,,
6073,856,3,said,said.V.PAST,,,,LAU,eng,herring1,,
6074,856,4,.,,,,,LAU,999,herring1,,
6075,857,1,no,no.ADV,,,,LAU,eng,herring1,,
6076,857,2,no,no.ADV,,,,LAU,eng,herring1,,
6077,857,3,.,,,,,LAU,999,herring1,,
6078,858,1,she's,she.PRON.SUB.F.3S+BE.V.3S.PRES,,,,LAU,eng,herring1,,
6079,858,2,like,like.CONJ.[or].like.SV.INFIN,,,,LAU,eng,herring1,,
6080,858,3,.,,,,,LAU,999,herring1,,
6081,859,1,I'm,I.PRON.SUB.1S+BE.V.PRES,,,,LAU,eng,herring1,,
6082,859,2,not,not.ADV,,,,LAU,eng,herring1,,
6083,859,3,you,you.PRON.SUB.2SP,,,,LAU,eng,herring1,,
6084,859,4,know,know.V.2SP.PRES,,,,LAU,eng,herring1,,
6085,859,5,I'm,I.PRON.SUB.1S+BE.V.PRES,,,,LAU,eng,herring1,,
6086,859,6,not,not.ADV,,,,LAU,eng,herring1,,
6087,859,7,questioning,unk,,,,LAU,eng,herring1,,
6088,859,8,your,your.ADJ.POSS.2SP,,,,LAU,eng,herring1,,
6089,859,9,you,you.PRON.SUB.2SP,,,,LAU,eng,herring1,,
6090,859,10,know,know.V.2SP.PRES,,,,LAU,eng,herring1,,
6091,859,11,just,just.ADJ.[or].just.ADV,,,,LAU,eng,herring1,,
6092,859,12,whatever,whatever.REL,,,,LAU,eng,herring1,,
6093,859,13,.,,,,,LAU,999,herring1,,
6094,860,1,but,but.CONJ,,,,LAU,eng,herring1,,
6095,860,2,I,I.PRON.SUB.1S,,,,LAU,eng,herring1,,
6096,860,3,wanna,want.V.1S.PRES+TO.PREP,,,,LAU,eng,herring1,,
6097,860,4,get,get.V.INFIN,,,,LAU,eng,herring1,,
6098,860,5,them,them.PRON.OBJ.3P,,,,LAU,eng,herring1,,
6099,860,6,right,right.ADJ,,,,LAU,eng,herring1,,
6100,860,7,once,once.ADV,,,,LAU,eng,herring1,,
6101,860,8,.,,,,,LAU,999,herring1,,
6102,861,1,because,because.CONJ,,,,LAU,eng,herring1,,
6103,861,2,when,when.CONJ,,,,LAU,eng,herring1,,
6104,861,3,thank,thank.V.INFIN,,,,LAU,eng,herring1,,
6105,861,4,god,god.N.SG,,,,LAU,eng,herring1,,
6106,861,5,when,when.CONJ,,,,LAU,eng,herring1,,
6107,861,6,we,we.PRON.SUB.1P,,,,LAU,eng,herring1,,
6108,861,7,submitted,submit.V.PAST,,,,LAU,eng,herring1,,
6109,861,8,the,the.DET.DEF,,,,LAU,eng,herring1,,
6110,861,9,drawings,unk,,,,LAU,eng,herring1,,
6111,861,10,we,we.PRON.SUB.1P,,,,LAU,eng,herring1,,
6112,861,11,didn't,did.V.PAST+NEG,,,,LAU,eng,herring1,,
6113,861,12,ask,ask.SV.INFIN,,,,LAU,eng,herring1,,
6114,861,13,like,like.CONJ.[or].like.V.INFIN,,,,LAU,eng,herring1,,
6115,861,14,the,the.DET.DEF,,,,LAU,eng,herring1,,
6116,861,15,tile,tile.N.SG,,,,LAU,eng,herring1,,
6117,861,16,yet,yet.CONJ,,,,LAU,eng,herring1,,
6118,861,17,.,,,,,LAU,999,herring1,,
6119,862,1,mmhm,mmhm.IM,,,,CHL,eng,herring1,,
6120,862,2,.,,,,,CHL,999,herring1,,
6121,863,1,what,what.REL,,,,LAU,eng,herring1,,
6122,863,2,we,we.PRON.SUB.1P,,,,LAU,eng,herring1,,
6123,863,3,gave,gave.V.1P.PRES,,,,LAU,eng,herring1,,
6124,863,4,them,them.PRON.OBJ.3P,,,,LAU,eng,herring1,,
6125,863,5,in,in.PREP,,,,LAU,eng,herring1,,
6126,863,6,the,the.DET.DEF,,,,LAU,eng,herring1,,
6127,863,7,spec,spec.N.SG,,,,LAU,eng,herring1,,
