word_id,utterance_id,location,surface,auto,fix,eng,com,speaker,langid,filename,clause,clauseno
4149,579,2,modern,modern.ADJ,,,,ELE,eng,zeledon3,,
4150,579,3,.,,,,,ELE,999,zeledon3,,
4151,580,1,good,good.ADJ,,,,FEL,eng,zeledon3,,
4152,580,2,I'm,I.PRON.SUB.1S+BE.V.PRES,,,,FEL,eng,zeledon3,,
4153,580,3,like,like.CONJ,,,,FEL,eng,zeledon3,,
4154,580,4,.,,,,,FEL,999,zeledon3,,
4155,581,1,like,like.CONJ.[or].like.V.INFIN,,,,ELE,eng,zeledon3,,
4156,581,2,hip_hopish,unk,,,,ELE,eng,zeledon3,,
4157,581,3,popish,popish.ADJ,,,,ELE,eng,zeledon3,,
4158,581,4,.,,,,,ELE,999,zeledon3,,
4159,582,1,I,I.PRON.SUB.1S,,,,ELE,eng,zeledon3,,
4160,582,2,don't,do.V.1S.PRES+NEG,,,,ELE,eng,zeledon3,,
4161,582,3,know,know.V.INFIN,,,,ELE,eng,zeledon3,,
4162,582,4,.,,,,,ELE,999,zeledon3,,
4163,583,1,something,something.PRON,,,,ELE,eng,zeledon3,,
4164,583,2,will,will.V.123SP.FUT,,,,ELE,eng,zeledon3,,
4165,583,3,come,come.SV.INFIN,,,,ELE,eng,zeledon3,,
4166,583,4,up,up.ADV,,,,ELE,eng,zeledon3,,
4167,583,5,.,,,,,ELE,999,zeledon3,,
4168,584,1,but,but.CONJ,,,,ELE,eng,zeledon3,,
4169,584,2,I,I.PRON.SUB.1S,,,,ELE,eng,zeledon3,,
4170,584,3,have,have.V.1S.PRES,,,,ELE,eng,zeledon3,,
4171,584,4,to,to.PREP,,,,ELE,eng,zeledon3,,
4172,584,5,see,see.V.INFIN,,,,ELE,eng,zeledon3,,
4173,584,6,.,,,,,ELE,999,zeledon3,,
4174,585,1,I,I.PRON.SUB.1S,,,,ELE,eng,zeledon3,,
4175,585,2,think,think.V.1S.PRES,,,,ELE,eng,zeledon3,,
4176,585,3,I,I.PRON.SUB.1S,,,,ELE,eng,zeledon3,,
4177,585,4,get,get.V.1S.PRES,,,,ELE,eng,zeledon3,,
4178,585,5,the,the.DET.DEF,,,,ELE,eng,zeledon3,,
4179,585,6,other,other.ADJ,,,,ELE,eng,zeledon3,,
4180,585,7,day,day.N.SG,,,,ELE,eng,zeledon3,,
4181,585,8,I,I.PRON.SUB.1S,,,,ELE,eng,zeledon3,,
4182,585,9,saw,saw.V.PAST,,,,ELE,eng,zeledon3,,
4183,585,10,like,like.CONJ,,,,ELE,eng,zeledon3,,
4184,585,11,there's,there.PRON+BE.V.3S.PRES,,,,ELE,eng,zeledon3,,
4185,585,12,a,a.DET.INDEF,,,,ELE,eng,zeledon3,,
4186,585,13,place,place.N.SG,,,,ELE,eng,zeledon3,,
4187,585,14,in,in.PREP,,,,ELE,eng,zeledon3,,
4188,585,15,Silver_lakes,name,,,,ELE,eng&spa,zeledon3,,
4189,585,16,.,,,,,ELE,999,zeledon3,,
4190,586,1,but,but.CONJ,,,,ELE,eng,zeledon3,,
4191,586,2,I,I.PRON.SUB.1S,,,,ELE,eng,zeledon3,,
4192,586,3,don't,do.V.1S.PRES+NEG,,,,ELE,eng,zeledon3,,
4193,586,4,know,know.V.INFIN,,,,ELE,eng,zeledon3,,
4194,586,5,.,,,,,ELE,999,zeledon3,,
4195,587,1,it,it.PRON.SUB.3S,,,,ELE,eng,zeledon3,,
4196,587,2,looked,look.V.PAST,,,,ELE,eng,zeledon3,,
4197,587,3,like,like.CONJ,,,,ELE,eng,zeledon3,,
4198,587,4,for,for.PREP,,,,ELE,eng,zeledon3,,
4199,587,5,young,young.ADJ,,,,ELE,eng,zeledon3,,
4200,587,6,kids,kid.N.PL,,,,ELE,eng,zeledon3,,
4201,587,7,.,,,,,ELE,999,zeledon3,,
4202,588,1,so,so.ADV,,,,ELE,eng,zeledon3,,
4203,588,2,I,I.PRON.SUB.1S,,,,ELE,eng,zeledon3,,
4204,588,3,don't,do.V.1S.PRES+NEG,,,,ELE,eng,zeledon3,,
4205,588,4,know,know.V.INFIN,,,,ELE,eng,zeledon3,,
4206,588,5,.,,,,,ELE,999,zeledon3,,
4207,589,1,I,I.PRON.SUB.1S,,,,ELE,eng,zeledon3,,
